Dates,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,89,37,127,51,18,5,41,7,21,111
192608,89,37,127,51,18,5,41,7,21,111
192609,89,37,127,50,18,5,41,7,21,111
192610,89,37,127,50,18,5,41,7,21,111
192611,89,37,127,50,18,5,41,7,21,111
192612,88,37,127,50,18,5,41,7,21,110
192701,88,37,127,49,18,5,41,7,21,110
192702,86,37,127,49,18,5,41,7,21,109
192703,86,37,127,49,18,5,41,7,21,109
192704,86,37,127,49,18,4,41,7,21,108
192705,86,37,127,49,18,4,41,7,21,108
192706,86,37,126,49,18,4,41,7,21,108
192707,97,43,129,55,19,5,46,7,23,120
192708,97,43,128,55,19,5,46,7,23,120
192709,97,43,128,55,19,5,46,7,23,120
192710,96,43,128,55,19,5,46,7,23,120
192711,95,43,126,55,18,5,46,7,23,120
192712,95,43,126,55,18,5,46,7,23,119
192801,94,43,126,55,18,5,46,7,23,119
192802,94,43,126,55,18,5,46,7,23,119
192803,94,43,125,55,18,5,46,6,22,119
192804,94,43,125,55,18,5,46,6,22,119
192805,94,43,125,55,18,4,46,6,22,119
192806,94,43,125,55,18,4,45,6,22,119
192807,105,45,139,56,19,4,51,6,23,120
192808,104,44,139,56,19,4,51,6,23,120
192809,104,44,139,56,19,4,51,6,23,120
192810,104,44,139,56,19,4,51,6,23,119
192811,104,44,139,56,19,4,51,6,23,119
192812,103,44,139,56,19,4,51,6,23,119
192901,102,43,139,56,19,4,51,5,23,118
192902,102,43,139,56,19,4,51,5,23,118
192903,102,43,139,56,18,4,51,5,23,117
192904,102,43,139,56,18,4,51,5,23,117
192905,101,43,139,56,18,4,51,5,22,117
192906,100,43,139,56,18,4,51,5,22,117
192907,122,50,169,61,20,4,61,6,23,131
192908,122,50,168,61,20,4,61,6,23,131
192909,122,50,168,61,20,4,61,6,23,130
192910,121,50,168,60,20,4,61,6,22,128
192911,120,50,168,60,20,4,61,6,22,128
192912,119,50,168,60,20,4,61,6,22,126
193001,119,50,168,59,20,4,61,6,22,125
193002,118,49,168,59,20,4,61,6,22,125
193003,118,49,167,59,20,4,61,5,22,125
193004,117,49,166,58,20,4,61,5,22,124
193005,117,49,165,58,20,4,61,5,22,124
193006,116,48,164,58,20,4,61,4,22,123
193007,117,53,196,59,27,4,70,5,23,142
193008,117,53,196,58,27,4,70,5,23,142
193009,117,53,196,57,27,4,70,5,23,142
193010,117,53,195,56,27,4,70,5,23,142
193011,117,52,195,56,27,4,70,5,23,140
193012,117,52,195,56,27,4,70,5,23,140
193101,117,52,193,56,27,4,70,5,23,138
193102,117,52,191,56,27,4,70,5,23,138
193103,116,52,191,56,27,4,70,5,23,137
193104,116,52,191,56,26,4,70,5,23,137
193105,116,51,191,56,26,4,70,5,23,137
193106,116,51,191,56,26,4,70,5,23,136
193107,119,51,204,57,26,4,72,6,23,140
193108,119,51,204,57,26,4,72,6,23,139
193109,119,51,204,57,26,4,72,6,22,139
193110,118,51,203,57,26,4,72,6,22,138
193111,118,51,203,57,26,4,72,6,22,138
193112,118,50,201,57,26,4,72,6,22,137
193201,118,50,201,57,26,4,72,6,22,137
193202,118,50,201,57,26,4,72,6,22,137
193203,117,50,200,57,26,4,71,6,22,137
193204,116,50,200,56,26,4,71,6,22,133
193205,115,50,200,55,26,4,70,6,22,133
193206,113,50,199,55,26,4,68,6,22,131
193207,113,51,203,54,25,4,69,6,22,132
193208,111,50,203,54,25,4,69,6,22,132
193209,110,50,203,53,25,4,69,6,22,132
193210,110,50,203,53,25,4,69,6,22,132
193211,109,50,203,53,25,4,69,6,22,132
193212,107,50,202,53,25,4,69,6,22,131
193301,107,50,202,53,25,4,69,6,22,131
193302,107,50,202,53,25,4,68,6,22,131
193303,107,49,201,53,25,4,68,6,22,131
193304,107,49,201,53,25,4,68,6,22,131
193305,107,49,199,53,25,4,68,6,22,131
193306,107,47,197,52,25,4,66,6,22,131
193307,109,47,201,54,27,4,66,6,22,137
193308,109,47,201,54,27,4,66,6,21,137
193309,109,47,201,54,27,4,66,6,21,136
193310,109,47,201,54,27,4,66,6,21,136
193311,109,47,201,54,27,4,66,6,21,136
193312,109,47,201,54,26,4,66,6,21,136
193401,109,47,201,54,26,4,66,6,21,135
193402,109,47,201,54,26,4,66,6,21,135
193403,109,47,201,54,26,4,66,6,21,135
193404,109,47,201,54,26,4,66,6,21,135
193405,109,47,200,53,26,4,66,6,21,135
193406,109,47,200,53,26,4,66,6,21,135
193407,110,47,200,54,27,4,68,9,21,141
193408,110,47,200,54,27,4,68,9,21,141
193409,110,47,200,54,27,4,68,9,21,141
